,a,b
503,7.769333866,1.03E-08
504,7.704922897,-5.73E-09
505,3.903944357,-5.07E-08
506,8.38007717,1.32E-08
507,9.45510875,1.72E-08
508,11.88530076,6.10E-08
509,4.588728239,-2.90E-08
510,4.376871799,-2.76E-08
511,12.01031349,2.80E-08
512,7.610416792,-8.38E-10
513,11.58123006,1.59E-08
514,3.690482342,-4.37E-08
515,10.51894267,1.79E-08
516,4.565809163,-4.40E-08
517,7.192251015,-8.20E-09
518,5.375373422,-1.55E-08
519,8.848046329,-1.90E-09
520,4.361120615,-2.10E-08
521,3.626017011,-6.00E-08
522,4.875253699,-1.52E-08
523,4.368315282,-3.22E-08
524,7.358794615,-2.09E-08
525,5.126678541,-2.83E-08
526,4.43605834,-4.27E-08
527,4.801606069,-4.23E-08
528,4.477318098,-4.31E-08
529,6.920982353,-2.16E-08
530,4.522876918,-3.24E-08
531,6.529322419,-1.24E-08
532,5.289889924,-2.79E-08
533,3.915411341,-3.72E-08
534,7.000645941,-1.11E-08
535,5.002535131,-2.74E-08
536,6.107531259,-1.20E-08
537,8.890869686,5.28E-09
538,6.970323943,-1.67E-08
539,6.047188383,-3.40E-08
540,8.592061015,4.50E-09
541,6.823464119,-1.55E-08
542,5.409272555,-2.67E-08
543,7.24791263,-1.97E-08
544,8.139818336,-1.65E-09
545,8.571935749,4.64E-09
546,9.323877479,1.55E-08
547,6.733011884,7.64E-09
548,6.930454311,-1.82E-08
549,9.709040801,1.68E-08
550,5.792747179,-1.90E-08
551,4.852227877,-3.54E-08
552,12.32482533,4.70E-08
553,8.396411407,-1.11E-09
554,6.045278892,-1.64E-08
555,5.930959864,-3.24E-08
556,6.891762908,-8.68E-09
557,9.257835001,9.07E-10
558,8.312671032,-1.27E-08
559,8.210481918,-9.88E-09
560,6.257187263,-1.72E-08
561,5.239775507,-2.17E-08
562,7.955963086,1.90E-08
563,6.036439732,-2.22E-08
564,5.624859937,-2.00E-08
565,6.690549794,-1.65E-08
566,3.913590412,-3.92E-08
567,5.424830469,-2.92E-08
568,7.36128208,-1.24E-08
569,7.871337983,-5.79E-09
570,8.551510715,1.69E-08
571,3.686986753,-5.31E-08
572,4.692905161,-3.95E-08
573,5.431934425,-2.15E-08
574,7.877547651,-2.89E-09
575,7.128542299,7.85E-09
576,7.084718868,-1.69E-08
577,8.75639616,1.06E-08
578,5.363389435,-2.79E-08
579,7.162743819,-9.81E-09
580,6.509404091,-4.21E-09
581,9.920034462,-3.39E-09
582,5.284017626,-1.74E-08
583,10.49080292,1.49E-08
584,4.5677291,-3.14E-08
585,4.607781026,-3.10E-08
586,6.552190556,1.09E-09
587,11.71714921,1.29E-08
588,8.690269007,-4.00E-09
589,14.84018836,6.95E-08
590,9.716631853,1.49E-08
591,4.760629517,-3.05E-08
592,9.25961926,1.48E-08
593,12.20227684,2.13E-08
594,5.200809384,-1.30E-08
595,3.437267914,-6.15E-08
596,7.437539175,-9.62E-09
597,5.744998713,-2.89E-08
598,6.90774039,-1.16E-08
599,5.759335031,-8.21E-09
600,10.56350104,1.92E-08
601,7.803067105,-8.34E-09
602,5.53729852,-3.19E-08
603,10.26572337,2.45E-08
604,9.126161777,1.97E-08
605,10.0317058,1.31E-08
606,6.674050324,-6.92E-09
607,8.160178322,8.71E-09
608,5.481666879,-2.15E-08
609,7.570168372,8.33E-09
610,5.106400459,-2.56E-08
611,7.023182731,-7.78E-09
612,9.780256668,1.88E-08
613,10.19983712,2.61E-08
614,6.228087624,-2.04E-08
615,9.977516759,3.67E-08
616,8.271144516,6.72E-09
617,8.035115484,-2.43E-09
618,7.492569872,1.85E-09
619,10.38521976,1.03E-08
620,6.223875191,-2.43E-08
621,11.88094933,4.97E-08
622,6.478784532,-1.25E-08
623,6.836612822,-1.23E-08
624,7.953465233,-5.65E-09
625,7.574174993,-1.52E-09
626,3.613484783,-4.75E-08
627,3.78321838,-5.08E-08
628,6.400918925,4.96E-09
629,4.022090012,-3.85E-08
630,5.266230243,-7.45E-09
631,9.293604897,1.84E-08
632,6.955784488,-2.13E-08
633,2.903515594,-6.73E-08
634,7.944988019,-2.14E-09
635,3.57442499,-5.21E-08
636,4.259709502,-3.90E-08
637,8.640553467,-6.13E-09
638,6.089961479,-1.40E-08
639,6.744718657,-1.92E-08
640,10.83118607,2.04E-08
641,6.680935616,-6.71E-09
642,4.475506204,-4.33E-08
643,5.988391522,-2.38E-08
644,4.76936854,-4.02E-08
645,7.964665367,-4.01E-09
646,9.39593151,2.83E-08
647,4.347041962,-3.15E-08
648,10.18192943,1.42E-08
649,6.119110119,-2.72E-08
650,8.305462178,-4.23E-09
651,6.220514104,-1.62E-08
652,5.838862198,-1.44E-08
653,4.76744053,-3.14E-08
654,13.79222675,5.10E-08
655,10.20163153,7.83E-09
656,6.745628643,-2.12E-08
657,7.276457491,-1.15E-08
658,9.708092546,6.24E-09
659,3.412101817,-4.63E-08
660,6.639909151,-6.31E-09
661,11.21226882,1.89E-08
662,7.309286656,2.80E-09
663,7.517413639,1.23E-08
664,3.715327971,-3.89E-08
665,5.947434417,-1.08E-08
666,11.74863156,3.40E-08
667,8.596682525,2.95E-09
668,9.479390292,4.43E-08
669,8.603270356,7.64E-09
670,3.686853611,-5.35E-08
671,4.725182429,-3.55E-08
672,10.27935517,4.14E-09
673,7.355013942,-2.11E-08
674,11.02049516,1.46E-08
675,4.712166512,-2.88E-08
676,5.667074746,-2.90E-08
677,6.480811215,-4.79E-09
678,8.970298129,1.07E-08
679,6.859072375,-1.72E-08
680,5.671488877,-1.47E-08
681,5.623188505,4.83E-09
682,9.91936293,1.64E-08
683,6.71580011,-1.79E-08
684,3.9149602,-3.20E-08
685,6.915153833,-1.70E-08
686,7.047134791,5.61E-10
687,6.751014636,-2.16E-09
688,9.185742776,8.23E-09
689,9.44679273,-3.61E-09
690,9.035185978,7.65E-09
691,7.830462661,2.44E-09
692,8.589113458,2.80E-09
693,9.327041219,-6.67E-09
694,4.698556664,-3.70E-08
695,8.402669136,1.93E-09
696,8.818714404,-3.73E-10
697,9.611564881,7.99E-09
698,9.909480275,8.39E-09
699,6.439089567,-2.01E-08
700,6.049607057,-2.81E-08
701,9.223957133,7.72E-09
702,6.231529186,-1.23E-08
703,11.25444376,3.46E-08
704,5.890167496,-3.11E-08
705,5.17286795,-1.78E-08
706,9.29245165,1.26E-08
707,5.65331548,-1.79E-08
708,5.39564699,-8.44E-09
709,7.346996738,-4.13E-09
710,7.29112206,-6.60E-10
711,6.858483583,-1.15E-08
712,9.014585511,1.58E-08
713,10.9546099,3.37E-08
714,10.14426516,1.80E-08
715,9.094757137,9.35E-09
716,3.771510226,-4.97E-08
717,9.806450849,2.53E-08
718,8.144408292,7.77E-09
719,9.10472756,-1.01E-09
720,6.079557842,-1.39E-08
721,4.810108952,-3.78E-08
722,5.24403382,-2.91E-08
723,9.424139511,4.56E-09
724,11.9430951,4.99E-08
725,9.653023185,2.25E-08
726,8.880039441,7.43E-09
727,7.712332516,-9.02E-10
728,12.5002926,1.97E-08
729,4.966037603,-2.81E-08
730,11.97909381,3.17E-08
731,6.556158753,-7.69E-09
732,5.788522564,-2.06E-08
733,7.903563224,-7.59E-09
734,4.113252335,-3.46E-08
735,6.970434902,-1.30E-08
736,8.383061342,1.35E-08
737,10.93607189,4.37E-08
738,10.78157639,5.19E-09
739,8.465464031,1.72E-08
740,8.668632004,8.14E-10
741,4.586248067,-2.34E-08
742,11.2638357,1.56E-08
743,4.986699872,-3.25E-08
744,4.629397828,-3.72E-08
745,4.452836277,-4.53E-08
746,6.734123023,-1.06E-08
747,9.736840893,1.89E-08
748,5.02236087,-3.25E-08
749,11.52229027,3.05E-08
750,5.308782767,-3.42E-08
751,3.05393431,-6.16E-08
752,4.143959287,-4.89E-08
753,3.839550501,-4.36E-08
754,6.232533925,-2.12E-08
755,5.510076984,-1.26E-08
756,7.665344524,2.01E-10
757,4.93728293,-3.26E-08
758,5.173755318,-2.65E-08
759,8.781809343,6.44E-09
760,8.472593089,-3.43E-09
761,5.981357713,-2.54E-08
762,4.213428507,-3.98E-08
763,8.186313106,-2.17E-09
764,4.260219123,-3.46E-08
765,8.804610517,5.95E-09
766,10.29647249,1.41E-08
767,7.391587146,-6.06E-09
768,4.243185697,-4.39E-08
769,16.55741035,7.19E-08
770,9.827376943,2.18E-08
771,11.09634281,1.27E-08
772,6.773265034,-9.62E-09
773,5.459951641,-3.44E-08
774,11.10789213,4.57E-08
775,7.753561494,-5.95E-09
776,5.534014409,-1.88E-08
777,11.11324542,1.61E-08
778,6.173762702,-2.00E-08
779,7.485957189,-5.81E-09
780,4.760728016,-3.57E-08
781,6.725931426,-1.46E-08
782,9.870635516,1.50E-08
783,4.104336459,-4.36E-08
784,5.477060399,-2.44E-08
785,9.685049902,1.44E-08
786,6.897411108,7.30E-09
787,5.661503265,-1.50E-08
788,8.547092584,7.19E-09
789,9.898838734,2.50E-08
790,9.872384559,1.67E-08
791,5.816642151,-2.12E-08
792,10.37669309,1.35E-08
793,7.124296728,-1.26E-08
794,8.883800814,8.38E-09
795,8.681248387,-6.81E-10
796,7.82352083,1.61E-08
797,10.26942119,1.01E-08
798,4.767136582,-3.68E-08
799,8.750849626,-5.97E-09
800,6.300956575,-3.76E-09
801,4.930533103,-3.18E-08
802,3.568114799,-5.91E-08
803,8.299203422,-1.70E-09
804,8.847437495,9.87E-09
805,11.03936547,3.69E-08
806,6.360156527,-2.51E-08
807,5.460211721,-3.52E-08
808,9.686838397,1.04E-08
809,7.075535763,2.24E-09
810,4.202340936,-4.47E-08
811,5.054369062,-4.06E-08
812,5.481656443,-2.94E-08
813,9.986657696,3.09E-08
814,9.360067829,3.03E-08
815,6.293469554,-8.84E-09
816,5.036072758,-2.20E-08
817,5.574930226,-2.95E-08
818,6.618189904,-2.15E-09
819,8.755419815,2.72E-09
820,5.892638349,-5.96E-09
821,3.955661688,-3.58E-08
822,10.80693652,1.67E-08
823,3.937221546,-4.63E-08
824,6.359589863,-1.99E-08
825,8.117395489,-8.67E-09
826,11.57288553,3.46E-08
827,11.84049193,2.83E-08
828,10.44023268,3.66E-08
829,4.937522314,-3.74E-08
830,6.587447243,-2.83E-08
831,10.37116164,1.37E-08
832,6.354126721,-1.59E-08
833,7.572247025,-1.20E-08
834,4.405030591,-3.41E-08
835,7.210441725,-2.36E-09
836,7.144012976,-2.10E-09
837,8.49915245,-3.95E-10
838,6.626293584,-6.03E-09
839,3.957987191,-3.95E-08
840,5.441933236,-2.74E-08
841,7.880859327,-1.09E-08
842,11.75585419,2.08E-08
843,7.233051865,-4.43E-09
844,7.592532952,2.84E-09
845,11.73597926,2.78E-08
846,5.142151104,-3.41E-08
847,10.40351408,1.45E-08
848,7.37007151,-1.28E-08
849,5.357634569,-2.39E-08
850,7.670167357,-5.83E-09
851,10.09510029,1.36E-08
852,3.999620243,-4.69E-08
853,8.505868787,-1.17E-09
854,8.017155962,-5.72E-09
855,7.841212535,-1.08E-08
856,7.504534274,-1.82E-08
857,10.3045517,1.64E-08
858,4.75762508,-3.28E-08
859,7.154298242,-1.15E-09
860,8.049530436,4.80E-10
861,4.200013243,-3.44E-08
862,4.920756919,-2.67E-08
863,8.524351273,9.48E-09
864,4.860086671,-3.36E-08
865,7.081862189,-8.58E-09
866,6.1838293,-2.51E-08
867,11.11279427,7.01E-08
868,5.628775186,-2.71E-08
869,8.838385014,6.10E-09
870,4.895274576,-3.25E-08
871,4.851403378,-2.37E-08
872,3.92444416,-4.49E-08
873,5.024698526,-3.46E-08
874,10.29554854,2.82E-08
875,5.391293696,-1.73E-08
876,10.0943254,2.22E-08
877,7.928054143,-7.92E-09
878,6.812296571,1.70E-08
879,11.07792544,1.35E-08
880,7.147383268,-1.72E-08
881,8.929711379,2.46E-08
882,7.746777875,-7.26E-09
883,4.597436761,-3.26E-08
884,6.914683216,-1.61E-09
885,9.449392963,6.71E-09
886,6.440509393,2.52E-09
887,7.610610044,2.98E-10
888,6.808054793,-2.27E-08
889,7.544115577,-1.41E-08
890,6.828493767,-1.67E-08
891,9.097360091,-4.76E-09
892,8.314725973,-1.10E-08
893,9.157328772,4.98E-09
894,11.37070287,3.01E-08
895,5.758375339,-1.69E-08
896,5.093157746,-3.10E-08
897,7.210016275,-1.39E-08
898,6.681780779,-1.86E-08
899,8.875761244,1.98E-08
900,6.71531751,-6.05E-09
901,7.959766858,-5.14E-09
902,2.753304706,-6.83E-08
903,9.244677547,2.35E-08
904,7.138978276,-1.27E-08
905,8.7128445,-5.69E-09
906,3.331748501,-5.42E-08
907,9.469718708,1.82E-08
908,8.659775639,2.29E-08
909,5.586445837,-2.83E-08
910,6.611992363,8.63E-09
911,8.134154677,-1.02E-08
912,7.63866799,1.28E-09
913,4.435554121,-3.81E-08
914,6.259495546,-3.17E-09
915,7.422761822,-1.53E-08
916,5.339572434,-3.40E-08
917,6.952855552,-1.02E-08
918,8.852351982,9.78E-09
919,9.252155647,7.44E-09
920,4.864192994,-3.90E-08
921,4.679728904,-2.09E-08
922,3.621647973,-4.98E-08
923,4.130595804,-4.36E-08
924,7.142545135,-1.22E-08
925,9.317273365,6.56E-09
926,11.16126245,2.98E-08
927,6.562235666,-1.64E-08
928,9.130742461,1.05E-08
929,7.047248838,-2.92E-09
930,3.506270027,-5.70E-08
931,3.602658013,-4.94E-08
932,3.91150489,-5.24E-08
933,6.785932814,-1.81E-08
934,5.302581323,-1.41E-08
935,3.897810287,-5.06E-08
936,3.168302706,-4.36E-08
937,4.266793206,-3.76E-08
938,3.016239394,-5.91E-08
939,7.195951951,-3.03E-09
940,8.733393154,8.48E-09
941,8.189992291,-6.95E-09
942,6.669953989,-2.50E-08
943,11.37557311,4.69E-08
944,6.566251319,-1.06E-08
945,5.513417871,-1.92E-08
946,5.465451033,-3.12E-08
947,9.288545425,2.02E-08
948,4.932456885,-3.06E-08
949,3.537545231,-3.48E-08
950,4.607201829,-1.95E-08
951,3.380586955,-5.16E-08
952,7.568610005,-1.03E-08
953,5.709099945,-1.85E-08
954,5.881019029,-1.73E-08
955,5.137663662,-3.08E-08
956,6.566726715,-1.60E-08
957,4.97123521,-3.20E-08
958,5.017000121,-3.24E-08
959,4.455061165,-1.86E-08
960,2.905525353,-5.98E-08
961,3.076198547,-6.04E-08
962,8.740037525,1.91E-08
963,3.785567307,-4.88E-08
964,7.763932778,1.83E-09
965,9.404107362,-1.15E-09
966,6.575900431,-1.60E-08
967,4.971002206,-3.17E-08
968,6.37062206,-2.51E-08
969,5.710753983,-3.47E-08
970,11.18399236,4.76E-08
971,5.95772332,-7.71E-09
972,4.460884433,-3.65E-08
973,11.22278231,3.17E-08
974,6.167625481,-8.79E-09
975,9.914272801,7.72E-09
976,9.017205816,2.96E-08
977,5.768201302,-6.07E-09
978,7.032064468,-9.43E-09
979,8.092868426,-3.50E-09
980,13.00715912,3.16E-08
981,5.908908668,-2.24E-08
982,9.362100494,1.60E-09
983,6.753465574,2.63E-08
984,4.601058756,-3.33E-08
985,5.292820795,-3.75E-08
986,4.065357729,-3.75E-08
987,10.10885204,4.14E-08
988,6.165326831,-1.82E-08
989,10.36726392,2.17E-08
990,4.705841827,-3.65E-08
991,7.236699574,-2.06E-08
992,3.87767656,-4.82E-08
993,9.687888932,9.29E-09
994,7.110021087,-1.90E-08
995,5.079415382,-2.77E-08
996,4.736590179,-3.49E-08
997,11.57163297,5.67E-08
998,7.62794206,-1.07E-08
999,9.110441478,3.98E-09
